Job Number,Job Name,Contract #,List #,Area,Location / Ship To,Stocklist Date / Delivery Date / Ship Date,Unit of Measurement,Pulled,Quantity Needed,Pulled By,Pulled Date,Description,Ordered?,Recieved from Order?,Delivered?,Part Number,Type,Part Type
25-1379,ZOETIS B300 PHASE 2 SE,,1896,ZOETIS B300 PHASE 2 SE,,,FT,0,42,Curran Advani,2025-12-05,1” SCH 40 PIPE,Yes,Yes,,00004DB010,Fab'd,
25-1379,ZOETIS B300 PHASE 2 SE FREEZER FARM,,1896,ZOETIS B300 PHASE 2 SE FREEZER FARM,,,FT,0,42,Current User,2025-12-03,1” SCH 40 PIPE,Yes,Yes,,00004DB010,Shop,
25-1379,ZOETIS B300 PHASE 2 SE FREEZER FARM,,1896,ZOETIS B300 PHASE 2 SE FREEZER FARM,,,FT,0,21,Current User,2025-12-03,1-1/4” SCH 40 PIPE,Yes,,,00004DB012,Loose,
25-1379,ZOETIS B300 PHASE 2 SE FREEZER FARM,,1896,ZOETIS B300 PHASE 2 SE FREEZER FARM,,,EA,0,12,Current User,2025-12-03,1ELLDI,Yes,,,1111000010,Loose,
25-1379,ZOETIS B300 PHASE 2 SE FREEZER FARM,,1896,ZOETIS B300 PHASE 2 SE FREEZER FARM,,,EA,0,6,Current User,2025-12-03,1-1/4 ELL DI,Yes,,,1111000012,Loose,
25-1379,ZOETIS B300 PHASE 2 SE FREEZER FARM,,1896,ZOETIS B300 PHASE 2 SE FREEZER FARM,,,EA,0,3,Current User,2025-12-03,1TEEDI,Yes,,,1113000010,Loose,
25-1379,ZOETIS B300 PHASE 2 SE FREEZER FARM,,1896,ZOETIS B300 PHASE 2 SE FREEZER FARM,,,EA,0,1,Current User,2025-12-03,1X1X1-1/4 TEE DI,Yes,,,1113101012,Loose,
25-1379,ZOETIS B300 PHASE 2 SE FREEZER FARM,,1896,ZOETIS B300 PHASE 2 SE FREEZER FARM,,,EA,0,3,Current User,2025-12-03,1-1/4 X 1-1/4 X 1 TEE DI,Yes,,,1113121210,Fab'd,
25-1379,ZOETIS B300 PHASE 2 SE FREEZER FARM,,1896,ZOETIS B300 PHASE 2 SE FREEZER FARM,,,EA,0,1,Current User,2025-12-02,"1-1/4"" COUPLING DI",Yes,Yes,,1115000012,Loose,
25-1379,ZOETIS B300 PHASE 2 SE FREEZER FARM,,1896,ZOETIS B300 PHASE 2 SE FREEZER FARM,,,EA,0,2,Current User,2025-12-03,4 FT QUICK DROP 1/2,Yes,,,15QUICDRP4,Loose,
