Company,PN,Whse,Nomenclature,Cost,Retail,Type,Weight,Units,AltPN,Code,Vendor,Date Updated,Vendor PartID,Cost Change percentage,Status
1,12STRAINER,1,1/2 STRAINER APOLLO 59-003-P2,47.92,0,45,0.26,EA,A,,ETNA,08/08/2025,238525,,
1,1113100707,1,1 X 3/4 X 3/4 TEE DI,3.7,0,13,0.99,EA,A,,CORE MAIN,,,,
1,1113100705,1,1 X 3/4 X 1/2 TEE DI,3.97,0,13,0.99,EA,A,,CORE MAIN,,8740023002040,,
1,1113151220,1,1-1/2 X 1-1/4 X 2 TEE DI,14.01,0,13,3.4,EA,A,,CORE MAIN,,,,
1,12UNIFLGDI,1,12 UNIFLANGE D.I.,145,0,14,0.26,EA,A,,ETNA,08/08/2025,30615,,
1,1115000010,1,1” COUPLING DI,2.35,0,13,0,EA,A,,CORE MAIN,8/4/2025,870840008692,,
1,V3605SRCH12,1,"V3605 SR CHRM DRY PEND 12"" 401",80.12,0,50,0,EA,A,,ETNA,5/13/2025,244097,,
1,VK3020BKAB,1,VK302 155 DEGREE BLACK QR 1/2 & ESC,19.22,0,50,0.26,EA,A,,VIKING,5/19/2025,12979MB/B,,
1,VK3020BKAE,1,VK302 200 DEGREE BLACK QR 1/2 & ESC,19.22,0,50,0.26,EA,A,,VIKING,5/19/2025,12979ME/B,,
1,VK3020BKAG,1,VK302 286 DEGREE BLACK QR 1/2 & ESC,19.22,0,50,0.26,EA,A,,VIKING,5/19/2025,12979MG/B,,
1,VKBLKESC12,1,VIKING BLACK 2PC ESC 1/2,4.72,0,50,0,EA,A,,VIKING,5/20/2025,06419AM/B,,
1,PEAGRAVEL,1,BAG OF PEA GRAVEL 0.5 cu. Ft.,5.47,0,50,0,EA,A,,HOME DEPOT,5/14/2025,440773,,
1,14W0V08020,1,8 X 2 WELD GRV GOL,3.6,0,15,1.8,EA,A,,ETNA,8/11/2025,28652,,
1,60270030PB,1,3/8 PLAIN BLACK ROD NON THRD,0.4,0,60,0,FT,A,,ELLENBASS,,,,
1,6008SU0016,1,1-5/8 UNISTRUT BEAM CLAMP,0.94,0,60,0,EA,A,,ETNA,5/16/2025,13095,,
1,0A007DB025,1,2-1/2” DYNA FLOW PIPE,2.09,0,0,2.564,FT,A,,ETNA,08/06/2025,26729,,
1,0A007DB020,1,2” DYNA FLOW PIPE,1.8,0,0,2.104,FT,A,,ETNA,08/06/2025,2767,,
1,1B07P00005,1,1/2” BRASS PLUG,2.9,0,16,0.1,EA,A,,ETNA,8/11/2025,199679,,
1,4025000007,1,3/4 BALL VALVE,9.27,0,45,0.98,EA,A,,TEST GAUGE,,88005688,,
1,6024000038,1,3/8 CONCRETE SCREW ANCHOR HILTI,1.32,0,60,0,,A,,HILTI,5/14/2025,423472,,
1,3400002535,1,2-1/2 X 3-1/2 NIPPLE,9.95,0,34,1.34,EA,A,,CORE MAIN,,,,
1,XP35SAMSWV,1,XP35 SAMMY EXP SWIVEL 8295922,4.62,0,60,0,EA,A,,CORE MAIN,,878295922,,
1,VK6360BWAB,1,VK636 CON ELOC K11.2 BW 205,32.76,0,50,0,EA,A,,VIKING,5/20/2025,16102AE,,
1,VKCNWRHSW,1,"CONCEALED WRENCH FOR VK480,481",83.83,0,50,0,EA,A,,VIKING,5/20/2025,16208W/R,,
1,1115001007,1,1 X 3/4 REDUCER DI,1.9,0,13,0.69,EA,A,,CORE MAIN,,870840010763,,
1,1115001512,1,1 1/2 x 1 1/4 REDUCING COUPLING DI,3.79,0,13,0,EA,A,,CORE MAIN,,,,
1,1116000715,1,3/4 X 1/2 HEX BUSHING DI,1.58,0,13,0,EA,A,,CORE MAIN,,,,
1,1116001005,1,1 X 1/2 HEX BUSHING DI,1.9,0,13,0.14,EA,A,,CORE MAIN,,870840010763,,
1,12COPLPIPE,1,1/2 COPPER L PIPE,3.28,0,0,0.26,FT,A,,ETNA,08/08/2025,64834,,
1,00001DB012,1,1-1/4” SCH 10 PIPE,1.53,0,0,1.81,FT,A,,ETNA,08/06/2025,54350,,
1,00001DB015,1,1-1/2” SCH 10 PIPE,1.86,0,0,,FT,A,,ETNA,08/06/2025,18684,,
1,00001DB020,1,2” SCH 10 PIPE,2.23,0,0,,FT,A,,ETNA,08/06/2025,73755,,
1,00001DB025,1,2-1/2” SCH 10 PIPE,2.98,0,0,,FT,A,,ETNA,08/06/2025,72805,,
1,00001DB030,1,3” SCH 10 PIPE,3.66,0,0,,FT,A,,ETNA,08/06/2025,10588,,
1,00001DB040,1,4” SCH 10 PIPE,4.74,0,0,,FT,A,,ETNA,08/06/2025,28192,,
1,00001DB060,1,6” SCH 10 PIPE,7.84,0,0,,FT,A,,ETNA,08/06/2025,64387,,
1,00001DB080,1,8” SCH 10 PIPE,14.3,0,0,16.5,FT,A,,ETNA,8/6/2025,21376,,
1,00001DG012,1,1-1/4” SCH 10 PIPE GALV,3.01,0,0,2,FT,A,,ETNA,8/6/2025,74310,,
1,00001DG015,1,1-1/2” SCH 10 PIPE GALV,3.47,0,0,,FT,A,,ETNA,8/6/2025,39948,,
1,00001DG020,1,2” SCH 10 PIPE GALV,4.18,0,0,2.79,FT,A,,ETNA,8/6/2025,34547,,
1,00001DG025,1,2-1/2” SCH 10 PIPE GALV,5.6,0,0,3.72,FT,A,,ETNA,8/6/2025,15203,,
1,00001DG030,1,3” SCH 10 PIPE GALV,6.86,0,0,4.56,FT,A,,ETNA,8/6/2025,52452,,
1,00001DG040,1,4” SCH 10 PIPE GALV,8.88,0,0,5.9,FT,A,,ETNA,8/6/2025,73151,,
1,00001DG060,1,6” SCH 10 PIPE GALV,14.7,0,0,9.72,FT,A,,ETNA,8/6/2025,30411,,
1,00001DG080,1,8” SCH 10 PIPE GALV,28.15,0,0,16.49,FT,A,,ETNA,8/6/2025,65541,,
1,00004DB005,1,1/2” SCH 40 PIPE,0.98,0,0,0.85,FT,A,,ETNA,8/6/2025,48341,,
1,00004DB007,1,3/4” SCH 40 PIPE,1.2,0,0,1.13,FT,A,,ETNA,8/6/2025,413865,,
1,00004DB010,1,1” SCH 40 PIPE,1.55,0,0,1.68,FT,A,,ETNA,8/6/2025,59603,,
1,00004DB012,1,1-1/4” SCH 40 PIPE,2.09,0,0,2.27,FT,A,,ETNA,8/6/2025,27851,,
1,00004DB015,1,1-1/2” SCH 40 PIPE,2.5,0,0,2.72,FT,A,,ETNA,8/6/2025,73208,,
1,00004DB020,1,2” SCH 40 PIPE,3.35,0,0,3.65,FT,A,,ETNA,8/6/2025,79272,,
1,00004DB025,1,2-1/2” SCH 40 PIPE,4.49,0,0,5.79,FT,A,,ETNA,8/5/2025,53142,,
1,00004DB030,1,3” SCH 40 PIPE,5.86,0,0,7.58,FT,A,,ETNA,8/5/2025,17062,,
1,00004DB040,1,4” SCH 40 PIPE,8.36,0,0,10.79,FT,A,,ETNA,8/5/2025,33925,,
1,00004DB060,1,6” SCH 40 PIPE,16,0,0,18.97,FT,A,,ETNA,8/6/2025,70809,,
1,00004DB080,1,8” SCH 30 PIPE,25.6,0,0,24.7,FT,A,,ETNA,8/6/2025,20307,,
1,00004DG005,1,1/2” SCH 40 PIPE GALV,1.48,0,0,0.85,FT,A,,ETNA,8/6/2025,39982,,
1,00004DG007,1,3/4” SCH 40 PIPE GALV,1.86,0,0,1.13,FT,A,,ETNA,8/6/2025,3173,,
1,00004DG010,1,1” SCH 40 PIPE GALV,2.64,0,0,1.76,FT,A,,ETNA,8/6/2025,15417,,
1,00004DG012,1,1-1/4” SCH 40 PIPE GALV,3.58,0,0,2.37,FT,A,,ETNA,8/6/2025,48856,,
1,00004DG015,1,1-1/2” SCH 40 PIPE GALV,4.25,0,0,2.84,FT,A,,ETNA,08/06/2025,14242,,
1,00004DG020,1,2” SCH 40 PIPE GALV,5.72,0,0,3.8,FT,A,,ETNA,8/6/2025,33429,,
1,00004DG025,1,2-1/2” SCH 40 PIPE GALV,8.4,0,0,5.79,FT,A,,ETNA,8/6/2025,73233,,
1,00004DG030,1,3” SCH 40 PIPE GALV,11,0,0,7.58,FT,A,,ETNA,8/6/2025,50849,,
1,00004DG040,1,4” SCH 40 PIPE GALV,15.65,0,0,10.79,FT,A,,ETNA,8/6/2025,69520,,
1,00004DG060,1,6” SCH 40 PIPE GALV,27.5,0,0,18.97,FT,A,,ETNA,8/6/2025,26713,,
1,00004DG080,1,8” SCH 30 PIPE GALV,42.9,0,0,24.7,FT,A,,ETNA,8/6/2025,62000,,
1,560001083,1,G2/WS2 Guard/Shield Pen K11.2,0,0,50,0.26,EA,A,,Core Main,,,,
1,560001087,1,G2 Guard Up & Pen K 11.2,0,0,50,0.26,EA,A,,Core Main,,,,
1,560001098,1,WSG-2 Guard/Shield Up,0,0,50,0.26,EA,A,,Core Main,,,,
1,569381001,1,"G1 Guard 1/2""/3/4"" Up & Pen",0,0,50,0.26,EA,A,,Core Main,,,,
1,569381066,1,"G1/S1 Guard & Shield 1/2"" Up",0,0,50,0.26,EA,A,,Core Main,,,,
1,569389066,1,"G4/S3 Guard & Shield 3/4"" Up",0,0,50,0.26,EA,A,,Core Main,,,,
1,0000B00005,1,1/2” BRASS PIPE,12.4,0,0,0.9,FT,A,,ETNA,08/06/2025,50560,,
1,0000B00007,1,3/4” BRASS PIPE,13.5,0,0,1.25,FT,A,,ETNA,,12565,,
1,0000CP0007,1,3/4” CPVC PIPE,0.51,0,0,0,FT,A,,ETNA,08/06/2025,58140,,
1,0000CP0010,1,1” CPVC PIPE,0.79,0,0,0,FT,A,,ETNA,8/6/2025,28508,,
1,0000CP0012,1,1-1/4” CPVC PIPE,1.26,0,0,0,FT,A,,ETNA,8/6/2025,2215,,
1,0000CP0015,1,1-1/2” CPVC PIPE,1.79,0,0,0,FT,A,,ETNA,8/6/2025,45917,,
1,0000CP0020,1,2” CPVC PIPE,2.76,0,0,0,FT,A,,ETNA,8/5/2025,46331,,
1,0000CP0025,1,2-1/2” CPVC PIPE,4.79,0,0,0,FT,A,,ETNA,8/6/2025,15883,,
1,0000CP0030,1,3” CPVC PIPE,7.28,0,0,0,FT,A,,ETNA,9/4/2025,63413,,
1,3307C00012,1,1-1/4” CPVC CAP,1.01,0,33,0.11,EA,A,,ETNA,5/13/2025,22829,,
1,3307C00015,1,1-1/2” CPVC CAP,1.4,0,33,0.16,EA,A,,ETNA,5/13/2025,22755,,
1,3307C00020,1,2” CPVC CAP,2.13,0,33,0.3,EA,A,,ETNA,5/13/2025,23400,,
1,3307C00025,1,2-1/2” CPVC CAP,3.03,0,33,0.16,EA,A,,ETNA,5/13/2025,40713,,
1,3400000220,1,1/4 X 2 NIPPLE,1.24,0,34,0.06,EA,A,,ETNA,5/15/2025,46916,,
1,3400000225,1,1/4 X 2-1/2 NIPPLE,1.6,0,34,0.08,EA,A,,ETNA,5/15/2025,65811,,
1,3400000230,1,1/4 X 3 NIPPLE,1.25,0,34,0.09,EA,A,,ETNA,,46939,,
1,3400000240,1,1/4 X 4 NIPPLE,1.85,0,34,0.13,EA,A,,ETNA,5/15/2025,46968,,
1,3400000320,1,3/8 x 2 NIPPLE,1.35,0,34,0.4,EA,A,,ETNA,5/15/2025,12581,,
1,3400000500,1,1/2 X CLOSE NIPPLE,0.99,0,34,0.05,EA,A,,CORE MAIN,10/6/2025,870330014408,,
1,3400000520,1,1/2 X 1 1/2 NIPPLE,1,0,34,0.11,EA,A,,ETNA,5/15/2025,8439,,
1,3400000525,1,1/2 X 2-1/2 NIPPLE,1.19,0,34,0.14,EA,A,,ETNA,5/15/2025,26212,,
1,3400000530,1,1/2 X 3 NIPPLE,1.19,0,34,0.18,EA,A,,ETNA,5/15/2025,43034,,
1,3400000535,1,1/2 X 3-1/2 NIPPLE,1.44,0,34,0.22,EA,A,,ETNA,5/15/2025,44022,,
1,3400000540,1,1/2 X 4 NIPPLE,1.44,0,34,0.25,EA,A,,ETNA,5/15/2025,43049,,
1,3400000545,1,1/2 X 4-1/2 NIPPLE,1.67,0,34,0.29,EA,A,,ETNA,5/15/2025,60812,,
1,3400000550,1,1/2 X 5 NIPPLE,1.67,0,34,0.32,EA,A,,ETNA,5/15/2025,43101,,
1,3400000555,1,1/2 X 5-1/2 NIPPLE,1.87,0,34,0.36,EA,A,,ETNA,5/15/2025,80452,,
1,3400000560,1,1/2 X 6 NIPPLE,1.87,0,34,0.37,EA,A,,ETNA,5/15/2025,43129,,
1,3400000700,1,3/4 X CLOSE NIPPLE,1.17,0,34,0.09,EA,A,,ETNA,5/15/2025,6262,,
1,3400000720,1,3/4 X 2 NIPPLE,1.24,0,34,0.14,EA,A,,ETNA,5/15/2025,5956,,
1,3400000725,1,3/4 X 2-1/2 NIPPLE,1.41,0,34,0.18,EA,A,,ETNA,5/15/2025,63317,,
1,3400000730,1,3/4 X 3 NIPPLE,1.41,0,34,0.24,EA,A,,ETNA,5/15/2025,5989,,
1,3400000735,1,3/4 X 3-1/2 NIPPLE,1.74,0,34,0.28,EA,A,,ETNA,5/15/2025,584,,
1,3400000740,1,3/4 X 4 NIPPLE,1.74,0,34,0.33,EA,A,,ETNA,5/15/2025,6000,,
1,3400000745,1,3/4 X 4-1/2 NIPPLE,2.19,0,34,0.38,EA,A,,ETNA,5/15/2025,20122,,
1,3400000750,1,3/4 X 5 NIPPLE,2.19,0,34,0.44,EA,A,,ETNA,5/15/2025,6017,,
1,3400000755,1,3/4 X 5-1/2 NIPPLE,2.46,0,34,0.47,EA,A,,ETNA,5/15/2025,38527,,
1,3400000760,1,3/4 X 6 NIPPLE,2.46,0,34,0.52,EA,A,,ETNA,5/15/2025,6046,,
1,3400001000,1,1 X CLOSE NIPPLE,1.26,0,34,0.14,EA,A,,CORE MAIN,,870330023805,,
1,3400001020,1,1 X 2 NIPPLE,1.86,0,34,0.2,EA,A,,CORE MAIN,8/5/2025,870330024001,,
1,3400001025,1,1 X 2-1/2 NIPPLE,1.45,0,34,0.26,EA,A,,CORE MAIN,,870330024209,,
1,3400001030,1,1 X 3 NIPPLE,1.94,0,34,0.34,EA,A,,CORE MAIN,9/2/2025,870330024407,,
1,3400001035,1,1 X 3-1/2 NIPPLE,2.38,0,34,0.42,EA,A,,CORE MAIN,10/2/2025,870330024605,,
1,3400001040,1,1 X 4 NIPPLE,2.38,0,34,0.48,EA,A,,CORE MAIN,10/2/2025,870330024803,,
1,3400001045,1,1 X 4-1/2 NIPPLE,2.11,0,34,0.53,EA,A,,CORE MAIN,,,,
1,3400001050,1,1 X 5 NIPPLE,2.85,0,34,0.6,EA,A,,CORE MAIN,10/6/2025,870330025206,,
1,3400001060,1,1 X 6 NIPPLE,3.35,0,34,0.75,EA,A,,CORE MAIN,10/6/2025,870330025602,,
1,3400001070,1,1 X 7 NIPPLE,4.04,0,34,0,EA,A,,CORE MAIN,,,,
1,3400001075,1,1 X 7-1/2 NIPPLE,5.46,0,34,0,EA,A,,CORE MAIN,8/4/2025,870330026204,,
1,3400001080,1,1 X 8 NIPPLE,4.04,0,34,0,EA,A,,CORE MAIN,,,,
1,3400001085,1,1 X 8 1/2 NIPPLE,4.75,0,34,0,EA,A,,CORE MAIN,,870330026600,,
1,3400001090,1,1 X 9 NIPPLE,4.72,0,34,0,EA,A,,CORE MAIN,,,,
1,3400001095,1,1 X 9 1/2 NIPPLE,4.75,0,34,0,EA,A,,CORE MAIN,,870830027009,,
1,34000010A0,1,1 X 10 NIPPLE,4.75,0,34,1.31,EA,A,,CORE MAIN,,870330027202,,
1,34000010A5,1,1 X 10-1/2 NIPPLE,5.43,0,34,0,EA,A,,CORE MAIN,,,,
1,34000010B0,1,1 X 11 NIPPLE,5.43,0,34,0,EA,A,,CORE MAIN,,,,
1,34000010C0,1,1 X 12 NIPPLE,5.43,0,34,0,EA,A,,CORE MAIN,,,,
1,3400001200,1,1-1/4 X CLOSE NIPPLE,1.58,0,34,0.22,EA,A,,CORE MAIN,,870330028200,,
1,3400001220,1,1-1/4 X 2 NIPPLE,2.43,0,34,0.28,EA,A,,CORE MAIN,8/4/2025,870330028408,,
1,3400001225,1,1-1/4 X 2-1/2 NIPPLE,2.59,0,34,0.35,EA,A,,CORE MAIN,8/4/2025,870330028606,,
1,3400001230,1,1-1/4 X 3 NIPPLE,2.54,0,34,0.46,EA,A,,CORE MAIN,8/4/2025,870330028804,,
1,3400001235,1,1-1/4 X 3-1/2 NIPPLE,2.23,0,34,0.56,EA,A,,CORE MAIN,,,,
1,3400001240,1,1-1/4 X 4 NIPPLE,2.23,0,34,0.63,EA,A,,CORE MAIN,,,,
1,3400001245,1,1-1/4 X 4-1/2 NIPPLE,2.65,0,34,0.7,EA,A,,CORE MAIN,,,,
